Link Name,Template [listid],Opacity,Delay,User Control,Source,Campaign,Display Count,Signup Count,Conversion Rate,Linkid,URL,Preview Link,Active
Romantic Dinner ,GeneralGetTastySmall,50,1,N,Google,test,76,7,9.21%,3B3ECACE-F692-43C6-A4FC-3F80FA150A22,http://www.recipe4living.com/articles/7_romantic_dinners_for_two.htm,http://www.recipe4living.com/articles/7_romantic_dinners_for_two.htm?cid=3B3ECACE-F692-43C6-A4FC-3F80FA150A22,Y
Super Bowl Snacks,GeneralGetTastySmall,50,1,N,Google,general,465,19,4.09%,30C2E3AF-101F-A790-F04A-94D01E4DEAA1,http://www.recipe4living.com/articles/13_last_minute_super_bowl_recipes.htm,http://www.recipe4living.com/articles/13_last_minute_super_bowl_recipes.htm?cid=30C2E3AF-101F-A790-F04A-94D01E4DEAA1,Y
TEST SAMIR TEST,DiabeticRecipes,50,1,Y,Bing,test,9,0,0.00%,E442E59F-DD6C-BF16-9E43-7E702DAC60B5,http://www.recipe4living.com/,http://www.recipe4living.com/?cid=E442E59F-DD6C-BF16-9E43-7E702DAC60B5,Y
Famous Chefs,GeneralGetTastySmall,50,1,N,Google,FamousChefs,167,9,5.39%,86B10C04-B621-61A4-896E-8A265B8DE90A,http://www.recipe4living.com/articles/25_recipes_from_your_favorite_celebrity_chefs.htm,http://www.recipe4living.com/articles/25_recipes_from_your_favorite_celebrity_chefs.htm?cid=86B10C04-B621-61A4-896E-8A265B8DE90A,Y
Valentine's Day Dinner,GeneralGetTastySmall,50,1,N,Google,bingrecipes,38,3,7.89%,B0F56E30-1D30-A655-7165-599B8836CDF9,http://www.recipe4living.com/articles/your_very_own_valentine_s_day_dinner.htm,http://www.recipe4living.com/articles/your_very_own_valentine_s_day_dinner.htm?cid=B0F56E30-1D30-A655-7165-599B8836CDF9,Y
Roger Soup,GeneralGetTastySmall,50,1,N,Google,FamousChefs,13,1,7.69%,7D695F05-2418-92B9-EB9C-CDF12146318B,http://www.recipe4living.com/recipes/roger_mooking_s_parsnip_and_pear_soup.htm,http://www.recipe4living.com/recipes/roger_mooking_s_parsnip_and_pear_soup.htm?cid=7D695F05-2418-92B9-EB9C-CDF12146318B,Y
Paula,GeneralGetTastySmall,50,1,N,Google,FamousChefs,4,0,0.00%,C912EF25-C36A-ED61-4E13-0AC574ABE119,http://www.recipe4living.com/recipes/pecan_praline_morsels.htm,http://www.recipe4living.com/recipes/pecan_praline_morsels.htm?cid=C912EF25-C36A-ED61-4E13-0AC574ABE119,Y
Paula and Rachael,CrockpotEasy1Small,50,1,N,Google,FamousChefs,144,13,9.03%,65E0C69E-7D63-B48F-0D38-78DC9515ED53,http://www.recipe4living.com/articles/rachael_ray_and_paula_deen_make_slow_cooker_chicken.htm,http://www.recipe4living.com/articles/rachael_ray_and_paula_deen_make_slow_cooker_chicken.htm?cid=65E0C69E-7D63-B48F-0D38-78DC9515ED53,Y
Rachael Ray Mushroom,GeneralGetTastySmall,50,1,N,Google,FamousChefs,24,1,4.17%,7E173417-2CDA-3AAD-EDD9-A19806A9B682,http://www.recipe4living.com/recipes/rachael_ray_s_portabella_cacciatore.htm,http://www.recipe4living.com/recipes/rachael_ray_s_portabella_cacciatore.htm?cid=7E173417-2CDA-3AAD-EDD9-A19806A9B682,Y
Rachael Ray Dessert Small,GeneralGetTastySmall,50,1,N,Google,FamousChefs,10,0,0.00%,EE8917B6-EDE5-30ED-03E0-093AF97FA19B,http://www.recipe4living.com/articles/a_sweet_and_creamy_new_year_s_dessert_rachael_ray_s_maple_cream_berries.htm,http://www.recipe4living.com/articles/a_sweet_and_creamy_new_year_s_dessert_rachael_ray_s_maple_cream_berries.htm?cid=EE8917B6-EDE5-30ED-03E0-093AF97FA19B,Y
Rachael Ray Dessert,Shrimp,50,1,N,Google,FamousChefs,12,0,0.00%,43512B08-5712-A732-1C7F-3B0523250B7E,http://www.recipe4living.com/articles/a_sweet_and_creamy_new_year_s_dessert_rachael_ray_s_maple_cream_berries.htm,http://www.recipe4living.com/articles/a_sweet_and_creamy_new_year_s_dessert_rachael_ray_s_maple_cream_berries.htm?cid=43512B08-5712-A732-1C7F-3B0523250B7E,Y
Sandra Lee Spicy Mac and Cheese,Shrimp,50,1,N,Google,FamousChefs,553,90,16.27%,A219392C-2C9B-97C3-5266-A2C1F061694D,http://www.recipe4living.com/articles/sandra_lee_s_spicy_fried_mac_and_cheese_bites.htm,http://www.recipe4living.com/articles/sandra_lee_s_spicy_fried_mac_and_cheese_bites.htm?cid=A219392C-2C9B-97C3-5266-A2C1F061694D,Y
