,List Size (2013-09-07),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),36984,0,0.000%,921,2.490%,36,0.097%,2,0.005%,0,0.000%,0,0.000%,0,0.000%,10,0.027%,969,2.620%
Fit&Fab Living Special Offers (410),55010,0,0.000%,1370,2.490%,44,0.080%,19,0.035%,0,0.000%,0,0.000%,0,0.000%,9,0.016%,1442,2.621%
Daily Recipes (393),1113688,6,0.001%,42891,3.851%,1600,0.144%,0,0.000%,1968,0.177%,0,0.000%,0,0.000%,72,0.006%,46537,4.179%
Recipe4Living Special Offers (396),1098436,5,0.000%,42361,3.856%,1596,0.145%,0,0.000%,1989,0.181%,0,0.000%,0,0.000%,65,0.006%,46016,4.189%
Budget Cooking (395),71211,1,0.001%,4011,5.633%,102,0.143%,0,0.000%,90,0.126%,0,0.000%,0,0.000%,9,0.013%,4213,5.916%
Quick & Easy Recipes (394),52036,1,0.002%,2702,5.193%,74,0.142%,0,0.000%,65,0.125%,0,0.000%,0,0.000%,6,0.012%,2848,5.473%
Diet Insider (448),23649,0,0.000%,613,2.592%,14,0.059%,23,0.097%,0,0.000%,0,0.000%,0,0.000%,2,0.008%,652,2.757%
Crockpot Creations (511),67619,0,0.000%,3568,5.277%,98,0.145%,0,0.000%,84,0.124%,0,0.000%,0,0.000%,7,0.010%,3757,5.556%
Casserole Cookin' (539),26339,0,0.000%,1628,6.181%,50,0.190%,0,0.000%,32,0.121%,0,0.000%,0,0.000%,5,0.019%,1715,6.511%
Copycat Classics (554),32988,0,0.000%,2036,6.172%,57,0.173%,0,0.000%,61,0.185%,0,0.000%,0,0.000%,8,0.024%,2162,6.554%
Making It Work (553),31266,1,0.003%,491,1.570%,19,0.061%,0,0.000%,0,0.000%,60,0.192%,0,0.000%,2,0.006%,573,1.833%
Work It  Mom! Special Offers (558),30609,0,0.000%,468,1.529%,19,0.062%,0,0.000%,0,0.000%,53,0.173%,0,0.000%,2,0.007%,542,1.771%
Diabetic-Friendly Dishes (574),10603,0,0.000%,528,4.980%,24,0.226%,0,0.000%,23,0.217%,0,0.000%,0,0.000%,7,0.066%,582,5.489%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2650438,14,0.001%,103588,3.908%,3733,0.141%,44,0.002%,4312,0.163%,113,0.004%,0,0.000%,204,0.008%,112008,4.226%
Unique Emails,,2,,44989,,1680,,24,,2628,,71,,0,,98,,49492,
