,List Size (2013-10-12),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),39088,2,0.005%,58,0.148%,53,0.136%,50,0.128%,0,0.000%,0,0.000%,0,0.000%,3,0.008%,166,0.425%
Fit&Fab Living Special Offers (410),56677,0,0.000%,97,0.171%,64,0.113%,120,0.212%,0,0.000%,0,0.000%,0,0.000%,4,0.007%,285,0.503%
Daily Recipes (393),1113961,9,0.001%,1503,0.135%,1787,0.160%,0,0.000%,1283,0.115%,0,0.000%,0,0.000%,150,0.013%,4732,0.425%
Recipe4Living Special Offers (396),1097285,11,0.001%,1477,0.135%,1763,0.161%,0,0.000%,2077,0.189%,0,0.000%,0,0.000%,105,0.010%,5433,0.495%
Budget Cooking (395),69849,0,0.000%,127,0.182%,103,0.147%,0,0.000%,39,0.056%,0,0.000%,0,0.000%,8,0.011%,277,0.397%
Quick & Easy Recipes (394),51301,0,0.000%,94,0.183%,86,0.168%,0,0.000%,31,0.060%,0,0.000%,0,0.000%,8,0.016%,219,0.427%
Diet Insider (448),23366,0,0.000%,52,0.223%,23,0.098%,21,0.090%,0,0.000%,0,0.000%,0,0.000%,1,0.004%,97,0.415%
Crockpot Creations (511),66400,0,0.000%,116,0.175%,103,0.155%,0,0.000%,38,0.057%,0,0.000%,0,0.000%,8,0.012%,265,0.399%
Casserole Cookin' (539),25890,0,0.000%,60,0.232%,52,0.201%,0,0.000%,13,0.050%,0,0.000%,0,0.000%,7,0.027%,132,0.510%
Copycat Classics (554),32335,0,0.000%,73,0.226%,63,0.195%,0,0.000%,26,0.080%,0,0.000%,0,0.000%,9,0.028%,171,0.529%
Making It Work (553),31036,0,0.000%,92,0.296%,22,0.071%,0,0.000%,0,0.000%,35,0.113%,0,0.000%,0,0.000%,149,0.480%
Work It  Mom! Special Offers (558),30442,0,0.000%,84,0.276%,21,0.069%,0,0.000%,0,0.000%,25,0.082%,0,0.000%,2,0.007%,132,0.434%
Diabetic-Friendly Dishes (574),10414,0,0.000%,47,0.451%,27,0.259%,0,0.000%,10,0.096%,0,0.000%,0,0.000%,1,0.010%,85,0.816%
The Feed by SavvyFork (583),2952,0,0.000%,0,0.000%,2,0.068%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,2,0.068%,4,0.136%
Total,2650996,22,0.001%,3880,0.146%,4169,0.157%,191,0.007%,3517,0.133%,60,0.002%,0,0.000%,308,0.012%,12147,0.458%
Unique Emails,,13,,1744,,1881,,118,,2178,,33,,0,,171,,6138,
