,List Size (2013-01-05),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),76204,4,0.005%,61,0.080%,59,0.077%,104,0.136%,0,0.000%,0,0.000%,0,0.000%,3,0.004%,231,0.303%
Fit&Fab Living Special Offers (410),111965,1,0.001%,82,0.073%,88,0.079%,123,0.110%,0,0.000%,0,0.000%,0,0.000%,9,0.008%,303,0.271%
Daily Recipes (393),1966721,12,0.001%,1928,0.098%,3240,0.165%,0,0.000%,4953,0.252%,0,0.000%,0,0.000%,147,0.007%,10280,0.523%
Recipe4Living Special Offers (396),1986750,11,0.001%,1959,0.099%,3300,0.166%,0,0.000%,5647,0.284%,0,0.000%,0,0.000%,138,0.007%,11055,0.556%
Budget Cooking (395),113248,3,0.003%,98,0.087%,217,0.192%,0,0.000%,306,0.270%,0,0.000%,0,0.000%,19,0.017%,643,0.568%
Quick & Easy Recipes (394),89754,2,0.002%,76,0.085%,125,0.139%,0,0.000%,185,0.206%,0,0.000%,0,0.000%,9,0.010%,397,0.442%
Diet Insider (448),42518,1,0.002%,30,0.071%,44,0.103%,68,0.160%,0,0.000%,0,0.000%,0,0.000%,8,0.019%,151,0.355%
Crockpot Creations (511),79334,1,0.001%,72,0.091%,162,0.204%,0,0.000%,244,0.308%,0,0.000%,0,0.000%,22,0.028%,501,0.632%
Casserole Cookin' (539),31351,2,0.006%,37,0.118%,76,0.242%,0,0.000%,102,0.325%,0,0.000%,0,0.000%,13,0.041%,230,0.734%
Copycat Classics (554),34535,2,0.006%,48,0.139%,108,0.313%,0,0.000%,153,0.443%,0,0.000%,0,0.000%,9,0.026%,320,0.927%
Making It Work (553),10065,2,0.020%,18,0.179%,8,0.079%,0,0.000%,0,0.000%,32,0.318%,0,0.000%,1,0.010%,61,0.606%
Work It  Mom! Special Offers (558),6794,2,0.029%,18,0.265%,8,0.118%,0,0.000%,0,0.000%,11,0.162%,0,0.000%,1,0.015%,40,0.589%
Diabetic-Friendly Dishes (574),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4549239,43,0.001%,4427,0.097%,7435,0.163%,295,0.006%,11590,0.255%,43,0.001%,0,0.000%,379,0.008%,24212,0.532%
Unique Emails,,13,,2053,,3425,,167,,6702,,32,,0,,195,,12587,
