,List Size (2013-03-16),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),79463,0,0.000%,2,0.003%,46,0.058%,55,0.069%,0,0.000%,0,0.000%,0,0.000%,6,0.008%,109,0.137%
Fit&Fab Living Special Offers (410),122422,0,0.000%,3,0.002%,56,0.046%,74,0.060%,0,0.000%,0,0.000%,0,0.000%,6,0.005%,139,0.114%
Daily Recipes (393),2057033,15,0.001%,48,0.002%,2208,0.107%,0,0.000%,2809,0.137%,0,0.000%,0,0.000%,124,0.006%,5204,0.253%
Recipe4Living Special Offers (396),2083110,20,0.001%,48,0.002%,2227,0.107%,0,0.000%,2856,0.137%,0,0.000%,0,0.000%,118,0.006%,5269,0.253%
Budget Cooking (395),133512,4,0.003%,2,0.001%,134,0.100%,0,0.000%,180,0.135%,0,0.000%,0,0.000%,20,0.015%,340,0.255%
Quick & Easy Recipes (394),95285,2,0.002%,1,0.001%,89,0.093%,0,0.000%,93,0.098%,0,0.000%,0,0.000%,10,0.010%,195,0.205%
Diet Insider (448),45107,0,0.000%,1,0.002%,20,0.044%,49,0.109%,0,0.000%,0,0.000%,0,0.000%,3,0.007%,73,0.162%
Crockpot Creations (511),85813,1,0.001%,0,0.000%,109,0.127%,0,0.000%,139,0.162%,0,0.000%,0,0.000%,13,0.015%,262,0.305%
Casserole Cookin' (539),32808,1,0.003%,0,0.000%,49,0.149%,0,0.000%,51,0.155%,0,0.000%,0,0.000%,7,0.021%,108,0.329%
Copycat Classics (554),37988,1,0.003%,0,0.000%,76,0.200%,0,0.000%,93,0.245%,0,0.000%,0,0.000%,7,0.018%,177,0.466%
Making It Work (553),21835,0,0.000%,0,0.000%,13,0.060%,0,0.000%,0,0.000%,61,0.279%,0,0.000%,0,0.000%,74,0.339%
Work It  Mom! Special Offers (558),18867,0,0.000%,0,0.000%,12,0.064%,0,0.000%,0,0.000%,33,0.175%,0,0.000%,0,0.000%,45,0.239%
Diabetic-Friendly Dishes (574),5937,4,0.067%,0,0.000%,21,0.354%,0,0.000%,23,0.387%,0,0.000%,0,0.000%,4,0.067%,52,0.876%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4819180,48,0.001%,105,0.002%,5060,0.105%,178,0.004%,6244,0.130%,94,0.002%,0,0.000%,318,0.007%,12047,0.250%
Unique Emails,,5,,49,,2323,,98,,3706,,61,,0,,158,,6400,
