,List Size (2013-09-28),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),38408,0,0.000%,66,0.172%,55,0.143%,40,0.104%,0,0.000%,0,0.000%,0,0.000%,10,0.026%,171,0.445%
Fit&Fab Living Special Offers (410),56172,0,0.000%,100,0.178%,80,0.142%,117,0.208%,0,0.000%,0,0.000%,0,0.000%,14,0.025%,311,0.554%
Daily Recipes (393),1113993,7,0.001%,1580,0.142%,1902,0.171%,0,0.000%,1709,0.153%,0,0.000%,0,0.000%,276,0.025%,5474,0.491%
Recipe4Living Special Offers (396),1098532,14,0.001%,1398,0.127%,1881,0.171%,0,0.000%,2620,0.239%,0,0.000%,0,0.000%,183,0.017%,6096,0.555%
Budget Cooking (395),70296,0,0.000%,118,0.168%,101,0.144%,0,0.000%,104,0.148%,0,0.000%,0,0.000%,13,0.018%,336,0.478%
Quick & Easy Recipes (394),51553,0,0.000%,68,0.132%,82,0.159%,0,0.000%,55,0.107%,0,0.000%,0,0.000%,3,0.006%,208,0.403%
Diet Insider (448),23420,0,0.000%,51,0.218%,33,0.141%,42,0.179%,0,0.000%,0,0.000%,0,0.000%,4,0.017%,130,0.555%
Crockpot Creations (511),66755,0,0.000%,106,0.159%,120,0.180%,0,0.000%,98,0.147%,0,0.000%,0,0.000%,15,0.022%,339,0.508%
Casserole Cookin' (539),26041,0,0.000%,51,0.196%,43,0.165%,0,0.000%,39,0.150%,0,0.000%,0,0.000%,9,0.035%,142,0.545%
Copycat Classics (554),32550,0,0.000%,68,0.209%,50,0.154%,0,0.000%,54,0.166%,0,0.000%,0,0.000%,8,0.025%,180,0.553%
Making It Work (553),31148,0,0.000%,66,0.212%,21,0.067%,0,0.000%,0,0.000%,51,0.164%,0,0.000%,1,0.003%,139,0.446%
Work It  Mom! Special Offers (558),30510,0,0.000%,63,0.206%,24,0.079%,0,0.000%,0,0.000%,59,0.193%,0,0.000%,1,0.003%,147,0.482%
Diabetic-Friendly Dishes (574),10492,0,0.000%,30,0.286%,23,0.219%,0,0.000%,17,0.162%,0,0.000%,0,0.000%,3,0.029%,73,0.696%
The Feed by SavvyFork (583),1299,12,0.924%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,12,0.924%
Total,2651169,33,0.001%,3765,0.142%,4415,0.167%,199,0.008%,4696,0.177%,110,0.004%,0,0.000%,540,0.020%,13758,0.519%
Unique Emails,,16,,1843,,2024,,130,,2953,,72,,0,,318,,7356,
