,List Size (2013-03-23),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),79477,1,0.001%,0,0.000%,53,0.067%,78,0.098%,0,0.000%,0,0.000%,0,0.000%,6,0.008%,138,0.174%
Fit&Fab Living Special Offers (410),122498,1,0.001%,0,0.000%,81,0.066%,163,0.133%,0,0.000%,0,0.000%,0,0.000%,8,0.007%,253,0.207%
Daily Recipes (393),2061092,5,0.000%,11,0.001%,2267,0.110%,0,0.000%,3235,0.157%,0,0.000%,0,0.000%,152,0.007%,5670,0.275%
Recipe4Living Special Offers (396),2086910,7,0.000%,11,0.001%,2294,0.110%,0,0.000%,3701,0.177%,0,0.000%,0,0.000%,146,0.007%,6159,0.295%
Budget Cooking (395),133807,0,0.000%,0,0.000%,134,0.100%,0,0.000%,172,0.129%,0,0.000%,0,0.000%,22,0.016%,328,0.245%
Quick & Easy Recipes (394),95168,0,0.000%,0,0.000%,120,0.126%,0,0.000%,104,0.109%,0,0.000%,0,0.000%,20,0.021%,244,0.256%
Diet Insider (448),45233,0,0.000%,0,0.000%,32,0.071%,64,0.141%,0,0.000%,0,0.000%,0,0.000%,3,0.007%,99,0.219%
Crockpot Creations (511),85594,0,0.000%,0,0.000%,121,0.141%,0,0.000%,164,0.192%,0,0.000%,0,0.000%,20,0.023%,305,0.356%
Casserole Cookin' (539),32909,0,0.000%,0,0.000%,52,0.158%,0,0.000%,54,0.164%,0,0.000%,0,0.000%,10,0.030%,116,0.352%
Copycat Classics (554),38331,1,0.003%,1,0.003%,79,0.206%,0,0.000%,99,0.258%,0,0.000%,0,0.000%,13,0.034%,193,0.504%
Making It Work (553),21772,0,0.000%,0,0.000%,27,0.124%,0,0.000%,0,0.000%,68,0.312%,0,0.000%,2,0.009%,97,0.446%
Work It  Mom! Special Offers (558),19203,0,0.000%,0,0.000%,27,0.141%,0,0.000%,0,0.000%,37,0.193%,0,0.000%,3,0.016%,67,0.349%
Diabetic-Friendly Dishes (574),6397,0,0.000%,0,0.000%,22,0.344%,0,0.000%,25,0.391%,0,0.000%,0,0.000%,7,0.109%,54,0.844%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4828391,15,0.000%,23,0.000%,5309,0.110%,305,0.006%,7554,0.156%,105,0.002%,0,0.000%,412,0.009%,13723,0.284%
Unique Emails,,8,,11,,2396,,197,,4543,,68,,0,,195,,7418,
