,List Size (2013-01-05),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),76204,4,0.005%,44,0.058%,53,0.070%,90,0.118%,0,0.000%,0,0.000%,0,0.000%,3,0.004%,194,0.255%
Fit&Fab Living Special Offers (410),111965,1,0.001%,61,0.054%,78,0.070%,108,0.096%,0,0.000%,0,0.000%,0,0.000%,9,0.008%,257,0.230%
Daily Recipes (393),1966721,12,0.001%,1417,0.072%,2745,0.140%,0,0.000%,4194,0.213%,0,0.000%,0,0.000%,129,0.007%,8497,0.432%
Recipe4Living Special Offers (396),1986750,11,0.001%,1434,0.072%,2789,0.140%,0,0.000%,4740,0.239%,0,0.000%,0,0.000%,124,0.006%,9098,0.458%
Budget Cooking (395),113248,3,0.003%,67,0.059%,178,0.157%,0,0.000%,259,0.229%,0,0.000%,0,0.000%,17,0.015%,524,0.463%
Quick & Easy Recipes (394),89754,2,0.002%,49,0.055%,104,0.116%,0,0.000%,166,0.185%,0,0.000%,0,0.000%,7,0.008%,328,0.365%
Diet Insider (448),42518,1,0.002%,22,0.052%,40,0.094%,63,0.148%,0,0.000%,0,0.000%,0,0.000%,7,0.016%,133,0.313%
Crockpot Creations (511),79334,1,0.001%,56,0.071%,139,0.175%,0,0.000%,222,0.280%,0,0.000%,0,0.000%,20,0.025%,438,0.552%
Casserole Cookin' (539),31351,2,0.006%,28,0.089%,63,0.201%,0,0.000%,92,0.293%,0,0.000%,0,0.000%,12,0.038%,197,0.628%
Copycat Classics (554),34535,2,0.006%,36,0.104%,92,0.266%,0,0.000%,136,0.394%,0,0.000%,0,0.000%,8,0.023%,274,0.793%
Making It Work (553),10065,2,0.020%,15,0.149%,7,0.070%,0,0.000%,0,0.000%,22,0.219%,0,0.000%,1,0.010%,47,0.467%
Work It  Mom! Special Offers (558),6794,2,0.029%,15,0.221%,7,0.103%,0,0.000%,0,0.000%,9,0.132%,0,0.000%,1,0.015%,34,0.500%
Diabetic-Friendly Dishes (574),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4549239,43,0.001%,3244,0.071%,6295,0.138%,261,0.006%,9809,0.216%,31,0.001%,0,0.000%,338,0.007%,20021,0.440%
Unique Emails,,13,,1518,,2895,,149,,5701,,22,,0,,176,,10474,
