,List Size (2013-05-18),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),28522,0,0.000%,246,0.862%,33,0.116%,5,0.018%,0,0.000%,0,0.000%,0,0.000%,13,0.046%,297,1.041%
Fit&Fab Living Special Offers (410),41726,1,0.002%,288,0.690%,48,0.115%,25,0.060%,0,0.000%,0,0.000%,0,0.000%,19,0.046%,381,0.913%
Daily Recipes (393),954556,10,0.001%,2801,0.293%,1948,0.204%,0,0.000%,2512,0.263%,0,0.000%,0,0.000%,305,0.032%,7576,0.794%
Recipe4Living Special Offers (396),936484,19,0.002%,2347,0.251%,1954,0.209%,0,0.000%,3037,0.324%,0,0.000%,0,0.000%,301,0.032%,7658,0.818%
Budget Cooking (395),71326,0,0.000%,314,0.440%,160,0.224%,0,0.000%,114,0.160%,0,0.000%,0,0.000%,31,0.043%,619,0.868%
Quick & Easy Recipes (394),50445,1,0.002%,220,0.436%,100,0.198%,0,0.000%,112,0.222%,0,0.000%,0,0.000%,20,0.040%,453,0.898%
Diet Insider (448),18477,0,0.000%,82,0.444%,21,0.114%,39,0.211%,0,0.000%,0,0.000%,0,0.000%,6,0.032%,148,0.801%
Crockpot Creations (511),73272,1,0.001%,223,0.304%,176,0.240%,0,0.000%,118,0.161%,0,0.000%,0,0.000%,25,0.034%,543,0.741%
Casserole Cookin' (539),27858,0,0.000%,100,0.359%,77,0.276%,0,0.000%,64,0.230%,0,0.000%,0,0.000%,13,0.047%,254,0.912%
Copycat Classics (554),33218,1,0.003%,61,0.184%,118,0.355%,0,0.000%,87,0.262%,0,0.000%,0,0.000%,19,0.057%,286,0.861%
Making It Work (553),13739,0,0.000%,65,0.473%,28,0.204%,0,0.000%,0,0.000%,64,0.466%,0,0.000%,170,1.237%,327,2.380%
Work It  Mom! Special Offers (558),12753,0,0.000%,63,0.494%,27,0.212%,0,0.000%,0,0.000%,44,0.345%,0,0.000%,163,1.278%,297,2.329%
Diabetic-Friendly Dishes (574),7855,0,0.000%,7,0.089%,21,0.267%,0,0.000%,36,0.458%,0,0.000%,0,0.000%,4,0.051%,68,0.866%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2270231,33,0.001%,6817,0.300%,4711,0.208%,69,0.003%,6080,0.268%,108,0.005%,0,0.000%,1089,0.048%,18907,0.833%
Unique Emails,,19,,2960,,2058,,38,,3697,,64,,0,,530,,9366,
