,List Size (2013-08-31),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),37690,2,0.005%,183,0.486%,37,0.098%,4,0.011%,0,0.000%,0,0.000%,0,0.000%,6,0.016%,232,0.616%
Fit&Fab Living Special Offers (410),56182,2,0.004%,216,0.384%,49,0.087%,15,0.027%,0,0.000%,0,0.000%,0,0.000%,7,0.012%,289,0.514%
Daily Recipes (393),1154250,3,0.000%,5402,0.468%,1927,0.167%,0,0.000%,2260,0.196%,0,0.000%,0,0.000%,74,0.006%,9666,0.837%
Recipe4Living Special Offers (396),1138586,3,0.000%,4895,0.430%,1920,0.169%,0,0.000%,2718,0.239%,0,0.000%,0,0.000%,70,0.006%,9606,0.844%
Budget Cooking (395),75175,0,0.000%,730,0.971%,129,0.172%,0,0.000%,87,0.116%,0,0.000%,0,0.000%,7,0.009%,953,1.268%
Quick & Easy Recipes (394),54710,0,0.000%,413,0.755%,90,0.165%,0,0.000%,76,0.139%,0,0.000%,0,0.000%,6,0.011%,585,1.069%
Diet Insider (448),24257,0,0.000%,70,0.289%,12,0.049%,22,0.091%,0,0.000%,0,0.000%,0,0.000%,2,0.008%,106,0.437%
Crockpot Creations (511),71319,0,0.000%,745,1.045%,105,0.147%,0,0.000%,105,0.147%,0,0.000%,0,0.000%,5,0.007%,960,1.346%
Casserole Cookin' (539),28011,0,0.000%,216,0.771%,56,0.200%,0,0.000%,36,0.129%,0,0.000%,0,0.000%,2,0.007%,310,1.107%
Copycat Classics (554),35104,0,0.000%,165,0.470%,74,0.211%,0,0.000%,60,0.171%,0,0.000%,0,0.000%,7,0.020%,306,0.872%
Making It Work (553),31757,0,0.000%,55,0.173%,18,0.057%,0,0.000%,0,0.000%,70,0.220%,0,0.000%,1,0.003%,144,0.453%
Work It  Mom! Special Offers (558),31072,0,0.000%,54,0.174%,19,0.061%,0,0.000%,0,0.000%,54,0.174%,0,0.000%,1,0.003%,128,0.412%
Diabetic-Friendly Dishes (574),11140,0,0.000%,134,1.203%,17,0.153%,0,0.000%,22,0.197%,0,0.000%,0,0.000%,2,0.018%,175,1.571%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2749253,10,0.000%,13278,0.483%,4453,0.162%,41,0.001%,5364,0.195%,124,0.005%,0,0.000%,190,0.007%,23460,0.853%
Unique Emails,,4,,5998,,2016,,23,,3234,,70,,0,,107,,11452,
