,List Size (2013-02-16),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),79057,0,0.000%,0,0.000%,56,0.071%,78,0.099%,0,0.000%,0,0.000%,0,0.000%,8,0.010%,142,0.180%
Fit&Fab Living Special Offers (410),121467,0,0.000%,0,0.000%,76,0.063%,85,0.070%,0,0.000%,0,0.000%,0,0.000%,11,0.009%,172,0.142%
Daily Recipes (393),2030142,1,0.000%,3,0.000%,2353,0.116%,0,0.000%,3170,0.156%,0,0.000%,0,0.000%,143,0.007%,5670,0.279%
Recipe4Living Special Offers (396),2057392,0,0.000%,3,0.000%,2348,0.114%,0,0.000%,3561,0.173%,0,0.000%,0,0.000%,132,0.006%,6044,0.294%
Budget Cooking (395),131729,0,0.000%,1,0.001%,164,0.124%,0,0.000%,188,0.143%,0,0.000%,0,0.000%,21,0.016%,374,0.284%
Quick & Easy Recipes (394),94948,0,0.000%,0,0.000%,101,0.106%,0,0.000%,102,0.107%,0,0.000%,0,0.000%,18,0.019%,221,0.233%
Diet Insider (448),44435,0,0.000%,0,0.000%,29,0.065%,52,0.117%,0,0.000%,0,0.000%,0,0.000%,4,0.009%,85,0.191%
Crockpot Creations (511),85907,0,0.000%,0,0.000%,126,0.147%,0,0.000%,167,0.194%,0,0.000%,0,0.000%,19,0.022%,312,0.363%
Casserole Cookin' (539),32360,0,0.000%,0,0.000%,55,0.170%,0,0.000%,57,0.176%,0,0.000%,0,0.000%,10,0.031%,122,0.377%
Copycat Classics (554),36489,0,0.000%,0,0.000%,64,0.175%,0,0.000%,94,0.258%,0,0.000%,0,0.000%,14,0.038%,172,0.471%
Making It Work (553),20430,0,0.000%,0,0.000%,23,0.113%,0,0.000%,0,0.000%,65,0.318%,0,0.000%,1,0.005%,89,0.436%
Work It  Mom! Special Offers (558),17336,0,0.000%,0,0.000%,24,0.138%,0,0.000%,0,0.000%,41,0.237%,0,0.000%,2,0.012%,67,0.386%
Diabetic-Friendly Dishes (574),4859,0,0.000%,0,0.000%,11,0.226%,0,0.000%,17,0.350%,0,0.000%,0,0.000%,3,0.062%,31,0.638%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4756551,1,0.000%,7,0.000%,5430,0.114%,215,0.005%,7356,0.155%,106,0.002%,0,0.000%,386,0.008%,13501,0.284%
Unique Emails,,1,,3,,2458,,126,,4431,,66,,0,,184,,7269,
