,List Size (2013-06-15),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),29069,0,0.000%,10,0.034%,33,0.114%,3,0.010%,0,0.000%,0,0.000%,0,0.000%,7,0.024%,53,0.182%
Fit&Fab Living Special Offers (410),42705,0,0.000%,14,0.033%,43,0.101%,24,0.056%,0,0.000%,0,0.000%,0,0.000%,9,0.021%,90,0.211%
Daily Recipes (393),958854,1,0.000%,324,0.034%,1536,0.160%,0,0.000%,2009,0.210%,0,0.000%,0,0.000%,78,0.008%,3948,0.412%
Recipe4Living Special Offers (396),939915,1,0.000%,316,0.034%,1527,0.162%,0,0.000%,2154,0.229%,0,0.000%,0,0.000%,82,0.009%,4080,0.434%
Budget Cooking (395),69422,0,0.000%,27,0.039%,127,0.183%,0,0.000%,120,0.173%,0,0.000%,0,0.000%,10,0.014%,284,0.409%
Quick & Easy Recipes (394),49280,0,0.000%,19,0.039%,85,0.172%,0,0.000%,63,0.128%,0,0.000%,0,0.000%,9,0.018%,176,0.357%
Diet Insider (448),18859,0,0.000%,4,0.021%,17,0.090%,35,0.186%,0,0.000%,0,0.000%,0,0.000%,3,0.016%,59,0.313%
Crockpot Creations (511),70976,0,0.000%,27,0.038%,120,0.169%,0,0.000%,136,0.192%,0,0.000%,0,0.000%,7,0.010%,290,0.409%
Casserole Cookin' (539),27402,0,0.000%,10,0.036%,57,0.208%,0,0.000%,41,0.150%,0,0.000%,0,0.000%,4,0.015%,112,0.409%
Copycat Classics (554),33680,0,0.000%,14,0.042%,75,0.223%,0,0.000%,90,0.267%,0,0.000%,0,0.000%,13,0.039%,192,0.570%
Making It Work (553),21212,0,0.000%,2,0.009%,17,0.080%,0,0.000%,0,0.000%,80,0.377%,0,0.000%,1,0.005%,100,0.471%
Work It  Mom! Special Offers (558),20368,0,0.000%,1,0.005%,17,0.083%,0,0.000%,0,0.000%,47,0.231%,0,0.000%,2,0.010%,67,0.329%
Diabetic-Friendly Dishes (574),8956,0,0.000%,2,0.022%,33,0.368%,0,0.000%,45,0.502%,0,0.000%,0,0.000%,1,0.011%,81,0.904%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2290698,2,0.000%,770,0.034%,3687,0.161%,62,0.003%,4658,0.203%,127,0.006%,0,0.000%,226,0.010%,9532,0.416%
Unique Emails,,1,,347,,1612,,34,,2763,,80,,0,,113,,4950,
