,List Size (2013-01-19),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),80076,1,0.001%,8,0.010%,45,0.056%,88,0.110%,0,0.000%,0,0.000%,0,0.000%,4,0.005%,146,0.182%
Fit&Fab Living Special Offers (410),122322,1,0.001%,10,0.008%,69,0.056%,117,0.096%,0,0.000%,0,0.000%,0,0.000%,10,0.008%,207,0.169%
Daily Recipes (393),2011430,5,0.000%,931,0.046%,2736,0.136%,0,0.000%,3616,0.180%,0,0.000%,0,0.000%,123,0.006%,7411,0.368%
Recipe4Living Special Offers (396),2041914,7,0.000%,906,0.044%,2751,0.135%,0,0.000%,4308,0.211%,0,0.000%,0,0.000%,110,0.005%,8082,0.396%
Budget Cooking (395),129965,1,0.001%,19,0.015%,207,0.159%,0,0.000%,232,0.179%,0,0.000%,0,0.000%,14,0.011%,473,0.364%
Quick & Easy Recipes (394),94931,1,0.001%,17,0.018%,118,0.124%,0,0.000%,155,0.163%,0,0.000%,0,0.000%,11,0.012%,302,0.318%
Diet Insider (448),44424,0,0.000%,3,0.007%,28,0.063%,69,0.155%,0,0.000%,0,0.000%,0,0.000%,5,0.011%,105,0.236%
Crockpot Creations (511),81462,1,0.001%,14,0.017%,134,0.164%,0,0.000%,187,0.230%,0,0.000%,0,0.000%,17,0.021%,353,0.433%
Casserole Cookin' (539),31841,1,0.003%,5,0.016%,56,0.176%,0,0.000%,64,0.201%,0,0.000%,0,0.000%,11,0.035%,137,0.430%
Copycat Classics (554),35178,2,0.006%,3,0.009%,84,0.239%,0,0.000%,118,0.335%,0,0.000%,0,0.000%,7,0.020%,214,0.608%
Making It Work (553),12820,0,0.000%,6,0.047%,9,0.070%,0,0.000%,0,0.000%,21,0.164%,0,0.000%,0,0.000%,36,0.281%
Work It  Mom! Special Offers (558),9583,0,0.000%,6,0.063%,8,0.083%,0,0.000%,0,0.000%,6,0.063%,0,0.000%,0,0.000%,20,0.209%
Diabetic-Friendly Dishes (574),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4695946,20,0.000%,1928,0.041%,6245,0.133%,274,0.006%,8680,0.185%,27,0.001%,0,0.000%,312,0.007%,17486,0.372%
Unique Emails,,3,,950,,2870,,161,,5173,,21,,0,,169,,9347,
