,List Size (2014-03-12),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),70610,0,0.000%,0,0.000%,1,0.001%,20,0.028%,0,0.000%,0,0.000%,0,0.000%,2,0.003%,23,0.033%
Fit&Fab Living Special Offers (410),87675,0,0.000%,0,0.000%,4,0.005%,12,0.014%,0,0.000%,0,0.000%,0,0.000%,2,0.002%,18,0.021%
Daily Recipes (393),1545158,0,0.000%,0,0.000%,198,0.013%,0,0.000%,296,0.019%,0,0.000%,0,0.000%,32,0.002%,526,0.034%
Recipe4Living Special Offers (396),1219105,0,0.000%,0,0.000%,162,0.013%,0,0.000%,293,0.024%,0,0.000%,0,0.000%,21,0.002%,476,0.039%
Budget Cooking (395),66534,0,0.000%,0,0.000%,6,0.009%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,1,0.002%,7,0.011%
Quick & Easy Recipes (394),49752,0,0.000%,0,0.000%,4,0.008%,0,0.000%,9,0.018%,0,0.000%,0,0.000%,2,0.004%,15,0.030%
Diet Insider (448),31848,0,0.000%,0,0.000%,3,0.009%,2,0.006%,0,0.000%,0,0.000%,0,0.000%,1,0.003%,6,0.019%
Crockpot Creations (511),63177,0,0.000%,0,0.000%,6,0.009%,0,0.000%,11,0.017%,0,0.000%,0,0.000%,3,0.005%,20,0.032%
Casserole Cookin' (539),25135,0,0.000%,0,0.000%,4,0.016%,0,0.000%,2,0.008%,0,0.000%,0,0.000%,0,0.000%,6,0.024%
Copycat Classics (554),31328,0,0.000%,0,0.000%,8,0.026%,0,0.000%,4,0.013%,0,0.000%,0,0.000%,0,0.000%,12,0.038%
Making It Work (553),32495,0,0.000%,0,0.000%,2,0.006%,0,0.000%,0,0.000%,1,0.003%,0,0.000%,2,0.006%,5,0.015%
Work It  Mom! Special Offers (558),31220,0,0.000%,0,0.000%,2,0.006%,0,0.000%,0,0.000%,2,0.006%,0,0.000%,2,0.006%,6,0.019%
Diabetic-Friendly Dishes (574),10562,0,0.000%,0,0.000%,1,0.009%,0,0.000%,2,0.019%,0,0.000%,0,0.000%,0,0.000%,3,0.028%
The Feed by SavvyFork (583),37010,0,0.000%,0,0.000%,9,0.024%,0,0.000%,0,0.000%,0,0.000%,6,0.016%,1,0.003%,16,0.043%
Total,3301609,0,0.000%,0,0.000%,410,0.012%,34,0.001%,617,0.019%,3,0.000%,6,0.000%,69,0.002%,1139,0.034%
Unique Emails,,0,,0,,214,,34,,573,,3,,6,,39,,869,
