,List Size (2013-01-12),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),79963,0,0.000%,28,0.035%,68,0.085%,91,0.114%,0,0.000%,0,0.000%,0,0.000%,6,0.008%,193,0.241%
Fit&Fab Living Special Offers (410),122001,0,0.000%,43,0.035%,97,0.080%,119,0.098%,0,0.000%,0,0.000%,0,0.000%,16,0.013%,275,0.225%
Daily Recipes (393),2006173,0,0.000%,850,0.042%,3116,0.155%,0,0.000%,4751,0.237%,0,0.000%,0,0.000%,172,0.009%,8889,0.443%
Recipe4Living Special Offers (396),2037244,0,0.000%,868,0.043%,3146,0.154%,0,0.000%,5992,0.294%,0,0.000%,0,0.000%,174,0.009%,10180,0.500%
Budget Cooking (395),129496,0,0.000%,36,0.028%,219,0.169%,0,0.000%,288,0.222%,0,0.000%,0,0.000%,34,0.026%,577,0.446%
Quick & Easy Recipes (394),94826,0,0.000%,29,0.031%,161,0.170%,0,0.000%,174,0.183%,0,0.000%,0,0.000%,19,0.020%,383,0.404%
Diet Insider (448),44210,0,0.000%,15,0.034%,43,0.097%,64,0.145%,0,0.000%,0,0.000%,0,0.000%,6,0.014%,128,0.290%
Crockpot Creations (511),81139,0,0.000%,20,0.025%,179,0.221%,0,0.000%,229,0.282%,0,0.000%,0,0.000%,28,0.035%,456,0.562%
Casserole Cookin' (539),31722,0,0.000%,5,0.016%,76,0.240%,0,0.000%,108,0.340%,0,0.000%,0,0.000%,14,0.044%,203,0.640%
Copycat Classics (554),34890,0,0.000%,3,0.009%,122,0.350%,0,0.000%,143,0.410%,0,0.000%,0,0.000%,13,0.037%,281,0.805%
Making It Work (553),10265,0,0.000%,7,0.068%,9,0.088%,0,0.000%,0,0.000%,33,0.321%,0,0.000%,1,0.010%,50,0.487%
Work It  Mom! Special Offers (558),7013,0,0.000%,6,0.086%,9,0.128%,0,0.000%,0,0.000%,12,0.171%,0,0.000%,2,0.029%,29,0.414%
Diabetic-Friendly Dishes (574),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4678942,0,0.000%,1910,0.041%,7245,0.155%,274,0.006%,11685,0.250%,45,0.001%,0,0.000%,485,0.010%,21644,0.463%
Unique Emails,,0,,916,,3274,,156,,7016,,33,,0,,233,,11628,
