,List Size (2013-10-05),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),38980,0,0.000%,49,0.126%,53,0.136%,29,0.074%,0,0.000%,0,0.000%,0,0.000%,10,0.026%,141,0.362%
Fit&Fab Living Special Offers (410),56644,0,0.000%,90,0.159%,66,0.117%,97,0.171%,0,0.000%,0,0.000%,0,0.000%,12,0.021%,265,0.468%
Daily Recipes (393),1114454,23,0.002%,1182,0.106%,1675,0.150%,0,0.000%,740,0.066%,0,0.000%,0,0.000%,390,0.035%,4010,0.360%
Recipe4Living Special Offers (396),1098439,28,0.003%,1082,0.099%,1653,0.150%,0,0.000%,1602,0.146%,0,0.000%,0,0.000%,267,0.024%,4632,0.422%
Budget Cooking (395),70090,1,0.001%,72,0.103%,121,0.173%,0,0.000%,40,0.057%,0,0.000%,0,0.000%,26,0.037%,260,0.371%
Quick & Easy Recipes (394),51468,1,0.002%,50,0.097%,69,0.134%,0,0.000%,31,0.060%,0,0.000%,0,0.000%,13,0.025%,164,0.319%
Diet Insider (448),23390,0,0.000%,51,0.218%,21,0.090%,32,0.137%,0,0.000%,0,0.000%,0,0.000%,7,0.030%,111,0.475%
Crockpot Creations (511),66619,2,0.003%,55,0.083%,92,0.138%,0,0.000%,38,0.057%,0,0.000%,0,0.000%,22,0.033%,209,0.314%
Casserole Cookin' (539),25987,1,0.004%,33,0.127%,47,0.181%,0,0.000%,20,0.077%,0,0.000%,0,0.000%,12,0.046%,113,0.435%
Copycat Classics (554),32464,1,0.003%,43,0.132%,59,0.182%,0,0.000%,31,0.095%,0,0.000%,0,0.000%,12,0.037%,146,0.450%
Making It Work (553),31113,0,0.000%,69,0.222%,16,0.051%,0,0.000%,0,0.000%,65,0.209%,0,0.000%,7,0.022%,157,0.505%
Work It  Mom! Special Offers (558),30502,0,0.000%,54,0.177%,15,0.049%,0,0.000%,0,0.000%,49,0.161%,0,0.000%,6,0.020%,124,0.407%
Diabetic-Friendly Dishes (574),10476,0,0.000%,23,0.220%,25,0.239%,0,0.000%,14,0.134%,0,0.000%,0,0.000%,4,0.038%,66,0.630%
The Feed by SavvyFork (583),2123,0,0.000%,0,0.000%,4,0.188%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,9,0.424%,13,0.612%
Total,2652749,57,0.002%,2853,0.108%,3916,0.148%,158,0.006%,2516,0.095%,114,0.004%,0,0.000%,797,0.030%,10411,0.392%
Unique Emails,,32,,1407,,1763,,103,,1626,,62,,0,,423,,5416,
