,List Size (2013-07-20),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),30419,0,0.000%,34,0.112%,31,0.102%,6,0.020%,0,0.000%,0,0.000%,0,0.000%,14,0.046%,85,0.279%
Fit&Fab Living Special Offers (410),44583,0,0.000%,44,0.099%,38,0.085%,23,0.052%,0,0.000%,0,0.000%,0,0.000%,17,0.038%,122,0.274%
Daily Recipes (393),983329,9,0.001%,591,0.060%,1611,0.164%,0,0.000%,1992,0.203%,0,0.000%,0,0.000%,171,0.017%,4374,0.445%
Recipe4Living Special Offers (396),964656,18,0.002%,589,0.061%,1621,0.168%,0,0.000%,2279,0.236%,0,0.000%,0,0.000%,127,0.013%,4634,0.480%
Budget Cooking (395),69048,1,0.001%,75,0.109%,123,0.178%,0,0.000%,101,0.146%,0,0.000%,0,0.000%,17,0.025%,317,0.459%
Quick & Easy Recipes (394),49378,1,0.002%,60,0.122%,66,0.134%,0,0.000%,61,0.124%,0,0.000%,0,0.000%,12,0.024%,200,0.405%
Diet Insider (448),19604,0,0.000%,16,0.082%,16,0.082%,30,0.153%,0,0.000%,0,0.000%,0,0.000%,7,0.036%,69,0.352%
Crockpot Creations (511),69478,1,0.001%,65,0.094%,112,0.161%,0,0.000%,115,0.166%,0,0.000%,0,0.000%,19,0.027%,312,0.449%
Casserole Cookin' (539),27254,0,0.000%,29,0.106%,37,0.136%,0,0.000%,52,0.191%,0,0.000%,0,0.000%,10,0.037%,128,0.470%
Copycat Classics (554),34369,0,0.000%,35,0.102%,81,0.236%,0,0.000%,70,0.204%,0,0.000%,0,0.000%,12,0.035%,198,0.576%
Making It Work (553),28692,0,0.000%,3,0.010%,19,0.066%,0,0.000%,0,0.000%,56,0.195%,0,0.000%,0,0.000%,78,0.272%
Work It  Mom! Special Offers (558),27921,1,0.004%,2,0.007%,17,0.061%,0,0.000%,0,0.000%,37,0.133%,0,0.000%,0,0.000%,57,0.204%
Diabetic-Friendly Dishes (574),10929,1,0.009%,5,0.046%,32,0.293%,0,0.000%,40,0.366%,0,0.000%,0,0.000%,4,0.037%,82,0.750%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2359660,32,0.001%,1548,0.066%,3804,0.161%,59,0.003%,4710,0.200%,93,0.004%,0,0.000%,410,0.017%,10656,0.452%
Unique Emails,,19,,626,,1698,,34,,2758,,56,,0,,226,,5417,
