,List Size (2013-08-17),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),37126,0,0.000%,45,0.121%,32,0.086%,2,0.005%,0,0.000%,0,0.000%,0,0.000%,14,0.038%,93,0.250%
Fit&Fab Living Special Offers (410),55730,0,0.000%,66,0.118%,52,0.093%,24,0.043%,0,0.000%,0,0.000%,0,0.000%,13,0.023%,155,0.278%
Daily Recipes (393),1162505,0,0.000%,6369,0.548%,1644,0.141%,0,0.000%,2052,0.177%,0,0.000%,0,0.000%,71,0.006%,10136,0.872%
Recipe4Living Special Offers (396),1146743,0,0.000%,6434,0.561%,1642,0.143%,0,0.000%,2333,0.203%,0,0.000%,0,0.000%,54,0.005%,10463,0.912%
Budget Cooking (395),76802,0,0.000%,330,0.430%,117,0.152%,0,0.000%,84,0.109%,0,0.000%,0,0.000%,11,0.014%,542,0.706%
Quick & Easy Recipes (394),55737,0,0.000%,214,0.384%,81,0.145%,0,0.000%,66,0.118%,0,0.000%,0,0.000%,10,0.018%,371,0.666%
Diet Insider (448),24397,0,0.000%,36,0.148%,24,0.098%,32,0.131%,0,0.000%,0,0.000%,0,0.000%,2,0.008%,94,0.385%
Crockpot Creations (511),73013,0,0.000%,407,0.557%,112,0.153%,0,0.000%,110,0.151%,0,0.000%,0,0.000%,8,0.011%,637,0.872%
Casserole Cookin' (539),28497,0,0.000%,154,0.540%,57,0.200%,0,0.000%,43,0.151%,0,0.000%,0,0.000%,6,0.021%,260,0.912%
Copycat Classics (554),35589,0,0.000%,137,0.385%,52,0.146%,0,0.000%,56,0.157%,0,0.000%,0,0.000%,8,0.022%,253,0.711%
Making It Work (553),31788,0,0.000%,24,0.076%,22,0.069%,0,0.000%,0,0.000%,63,0.198%,0,0.000%,0,0.000%,109,0.343%
Work It  Mom! Special Offers (558),31074,0,0.000%,20,0.064%,20,0.064%,0,0.000%,0,0.000%,50,0.161%,0,0.000%,0,0.000%,90,0.290%
Diabetic-Friendly Dishes (574),11246,0,0.000%,9,0.080%,20,0.178%,0,0.000%,27,0.240%,0,0.000%,0,0.000%,3,0.027%,59,0.525%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2770247,0,0.000%,14245,0.514%,3875,0.140%,58,0.002%,4771,0.172%,113,0.004%,0,0.000%,200,0.007%,23262,0.840%
Unique Emails,,0,,6567,,1729,,32,,2882,,64,,0,,102,,11376,
