,List Size (2013-02-02),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),78791,1,0.001%,4,0.005%,61,0.077%,80,0.102%,0,0.000%,0,0.000%,0,0.000%,7,0.009%,153,0.194%
Fit&Fab Living Special Offers (410),120961,1,0.001%,7,0.006%,85,0.070%,99,0.082%,0,0.000%,0,0.000%,0,0.000%,11,0.009%,203,0.168%
Daily Recipes (393),2016864,8,0.000%,244,0.012%,2562,0.127%,0,0.000%,3798,0.188%,0,0.000%,0,0.000%,154,0.008%,6766,0.335%
Recipe4Living Special Offers (396),2045415,10,0.000%,247,0.012%,2593,0.127%,0,0.000%,4762,0.233%,0,0.000%,0,0.000%,153,0.007%,7765,0.380%
Budget Cooking (395),130780,0,0.000%,8,0.006%,193,0.148%,0,0.000%,274,0.210%,0,0.000%,0,0.000%,32,0.024%,507,0.388%
Quick & Easy Recipes (394),94783,0,0.000%,12,0.013%,128,0.135%,0,0.000%,141,0.149%,0,0.000%,0,0.000%,21,0.022%,302,0.319%
Diet Insider (448),44154,0,0.000%,4,0.009%,31,0.070%,62,0.140%,0,0.000%,0,0.000%,0,0.000%,8,0.018%,105,0.238%
Crockpot Creations (511),85924,1,0.001%,15,0.017%,149,0.173%,0,0.000%,195,0.227%,0,0.000%,0,0.000%,26,0.030%,386,0.449%
Casserole Cookin' (539),32082,0,0.000%,9,0.028%,76,0.237%,0,0.000%,65,0.203%,0,0.000%,0,0.000%,6,0.019%,156,0.486%
Copycat Classics (554),35756,0,0.000%,6,0.017%,96,0.268%,0,0.000%,107,0.299%,0,0.000%,0,0.000%,9,0.025%,218,0.610%
Making It Work (553),19762,0,0.000%,30,0.152%,35,0.177%,0,0.000%,0,0.000%,156,0.789%,0,0.000%,1,0.005%,222,1.123%
Work It  Mom! Special Offers (558),16600,2,0.012%,29,0.175%,33,0.199%,0,0.000%,0,0.000%,103,0.620%,0,0.000%,3,0.018%,170,1.024%
Diabetic-Friendly Dishes (574),1189,3,0.252%,0,0.000%,1,0.084%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,3,0.252%,7,0.589%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4723061,26,0.001%,615,0.013%,6043,0.128%,241,0.005%,9342,0.198%,259,0.005%,0,0.000%,434,0.009%,16960,0.359%
Unique Emails,,4,,290,,2705,,142,,5587,,153,,0,,219,,9100,
