,List Size (2013-03-09),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),79338,0,0.000%,0,0.000%,42,0.053%,66,0.083%,0,0.000%,0,0.000%,0,0.000%,3,0.004%,111,0.140%
Fit&Fab Living Special Offers (410),122070,0,0.000%,0,0.000%,67,0.055%,82,0.067%,0,0.000%,0,0.000%,0,0.000%,4,0.003%,153,0.125%
Daily Recipes (393),2049365,1,0.000%,5,0.000%,2287,0.112%,0,0.000%,3166,0.154%,0,0.000%,0,0.000%,122,0.006%,5581,0.272%
Recipe4Living Special Offers (396),2075244,2,0.000%,5,0.000%,2286,0.110%,0,0.000%,3585,0.173%,0,0.000%,0,0.000%,129,0.006%,6007,0.289%
Budget Cooking (395),133192,0,0.000%,0,0.000%,141,0.106%,0,0.000%,170,0.128%,0,0.000%,0,0.000%,16,0.012%,327,0.246%
Quick & Easy Recipes (394),95178,0,0.000%,0,0.000%,106,0.111%,0,0.000%,104,0.109%,0,0.000%,0,0.000%,9,0.009%,219,0.230%
Diet Insider (448),44860,0,0.000%,0,0.000%,32,0.071%,44,0.098%,0,0.000%,0,0.000%,0,0.000%,1,0.002%,77,0.172%
Crockpot Creations (511),85837,0,0.000%,0,0.000%,117,0.136%,0,0.000%,154,0.179%,0,0.000%,0,0.000%,14,0.016%,285,0.332%
Casserole Cookin' (539),32698,1,0.003%,0,0.000%,52,0.159%,0,0.000%,57,0.174%,0,0.000%,0,0.000%,6,0.018%,116,0.355%
Copycat Classics (554),37658,0,0.000%,0,0.000%,85,0.226%,0,0.000%,75,0.199%,0,0.000%,0,0.000%,11,0.029%,171,0.454%
Making It Work (553),21367,0,0.000%,0,0.000%,9,0.042%,0,0.000%,0,0.000%,66,0.309%,0,0.000%,3,0.014%,78,0.365%
Work It  Mom! Special Offers (558),18371,0,0.000%,0,0.000%,10,0.054%,0,0.000%,0,0.000%,35,0.191%,0,0.000%,3,0.016%,48,0.261%
Diabetic-Friendly Dishes (574),5504,0,0.000%,0,0.000%,26,0.472%,0,0.000%,21,0.382%,0,0.000%,0,0.000%,2,0.036%,49,0.890%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4800682,4,0.000%,10,0.000%,5260,0.110%,192,0.004%,7332,0.153%,101,0.002%,0,0.000%,323,0.007%,13222,0.275%
Unique Emails,,2,,5,,2393,,114,,4459,,66,,0,,174,,7213,
