,List Size (2013-09-21),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),37852,5,0.013%,47,0.124%,30,0.079%,13,0.034%,0,0.000%,0,0.000%,0,0.000%,9,0.024%,104,0.275%
Fit&Fab Living Special Offers (410),55738,5,0.009%,83,0.149%,50,0.090%,48,0.086%,0,0.000%,0,0.000%,0,0.000%,10,0.018%,196,0.352%
Daily Recipes (393),1112881,5,0.000%,1426,0.128%,1561,0.140%,0,0.000%,2015,0.181%,0,0.000%,0,0.000%,74,0.007%,5081,0.457%
Recipe4Living Special Offers (396),1097985,5,0.000%,1113,0.101%,1547,0.141%,0,0.000%,2373,0.216%,0,0.000%,0,0.000%,82,0.007%,5120,0.466%
Budget Cooking (395),70582,2,0.003%,110,0.156%,119,0.169%,0,0.000%,81,0.115%,0,0.000%,0,0.000%,7,0.010%,319,0.452%
Quick & Easy Recipes (394),51700,2,0.004%,54,0.104%,78,0.151%,0,0.000%,65,0.126%,0,0.000%,0,0.000%,8,0.015%,207,0.400%
Diet Insider (448),23512,2,0.009%,44,0.187%,24,0.102%,34,0.145%,0,0.000%,0,0.000%,0,0.000%,3,0.013%,107,0.455%
Crockpot Creations (511),67019,2,0.003%,94,0.140%,104,0.155%,0,0.000%,83,0.124%,0,0.000%,0,0.000%,9,0.013%,292,0.436%
Casserole Cookin' (539),26125,2,0.008%,40,0.153%,36,0.138%,0,0.000%,34,0.130%,0,0.000%,0,0.000%,5,0.019%,117,0.448%
Copycat Classics (554),32676,2,0.006%,63,0.193%,57,0.174%,0,0.000%,45,0.138%,0,0.000%,0,0.000%,8,0.024%,175,0.536%
Making It Work (553),31193,2,0.006%,51,0.163%,18,0.058%,0,0.000%,0,0.000%,56,0.180%,0,0.000%,2,0.006%,129,0.414%
Work It  Mom! Special Offers (558),30564,2,0.007%,49,0.160%,18,0.059%,0,0.000%,0,0.000%,43,0.141%,0,0.000%,3,0.010%,115,0.376%
Diabetic-Friendly Dishes (574),10525,2,0.019%,31,0.295%,17,0.162%,0,0.000%,25,0.238%,0,0.000%,0,0.000%,6,0.057%,81,0.770%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2648352,38,0.001%,3205,0.121%,3659,0.138%,95,0.004%,4721,0.178%,99,0.004%,0,0.000%,226,0.009%,12043,0.455%
Unique Emails,,5,,1662,,1653,,55,,2866,,67,,0,,120,,6428,
