,List Size (2013-08-10),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),36057,0,0.000%,106,0.294%,35,0.097%,7,0.019%,0,0.000%,0,0.000%,0,0.000%,12,0.033%,160,0.444%
Fit&Fab Living Special Offers (410),53931,0,0.000%,185,0.343%,51,0.095%,32,0.059%,0,0.000%,0,0.000%,0,0.000%,14,0.026%,282,0.523%
Daily Recipes (393),1146875,7,0.001%,3468,0.302%,2109,0.184%,0,0.000%,2463,0.215%,0,0.000%,0,0.000%,91,0.008%,8138,0.710%
Recipe4Living Special Offers (396),1130863,12,0.001%,3298,0.292%,2110,0.187%,0,0.000%,2893,0.256%,0,0.000%,0,0.000%,85,0.008%,8398,0.743%
Budget Cooking (395),76259,1,0.001%,198,0.260%,157,0.206%,0,0.000%,90,0.118%,0,0.000%,0,0.000%,10,0.013%,456,0.598%
Quick & Easy Recipes (394),55094,2,0.004%,183,0.332%,101,0.183%,0,0.000%,69,0.125%,0,0.000%,0,0.000%,6,0.011%,361,0.655%
Diet Insider (448),23614,0,0.000%,94,0.398%,16,0.068%,38,0.161%,0,0.000%,0,0.000%,0,0.000%,2,0.008%,150,0.635%
Crockpot Creations (511),73005,1,0.001%,298,0.408%,148,0.203%,0,0.000%,109,0.149%,0,0.000%,0,0.000%,13,0.018%,569,0.779%
Casserole Cookin' (539),28495,1,0.004%,131,0.460%,60,0.211%,0,0.000%,48,0.168%,0,0.000%,0,0.000%,4,0.014%,244,0.856%
Copycat Classics (554),35671,1,0.003%,170,0.477%,86,0.241%,0,0.000%,71,0.199%,0,0.000%,0,0.000%,9,0.025%,337,0.945%
Making It Work (553),31766,0,0.000%,80,0.252%,22,0.069%,0,0.000%,0,0.000%,124,0.390%,0,0.000%,2,0.006%,228,0.718%
Work It  Mom! Special Offers (558),31037,0,0.000%,66,0.213%,22,0.071%,0,0.000%,0,0.000%,90,0.290%,0,0.000%,2,0.006%,180,0.580%
Diabetic-Friendly Dishes (574),11240,0,0.000%,49,0.436%,31,0.276%,0,0.000%,22,0.196%,0,0.000%,0,0.000%,3,0.027%,105,0.934%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2733907,25,0.001%,8326,0.305%,4948,0.181%,77,0.003%,5765,0.211%,214,0.008%,0,0.000%,253,0.009%,19608,0.717%
Unique Emails,,9,,3886,,2211,,45,,3515,,120,,0,,127,,9913,
