,List Size (2013-03-02),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),79194,2,0.003%,0,0.000%,50,0.063%,79,0.100%,0,0.000%,0,0.000%,0,0.000%,1,0.001%,132,0.167%
Fit&Fab Living Special Offers (410),121769,2,0.002%,0,0.000%,73,0.060%,117,0.096%,0,0.000%,0,0.000%,0,0.000%,5,0.004%,197,0.162%
Daily Recipes (393),2041961,5,0.000%,3,0.000%,2402,0.118%,0,0.000%,3424,0.168%,0,0.000%,0,0.000%,137,0.007%,5971,0.292%
Recipe4Living Special Offers (396),2068028,9,0.000%,3,0.000%,2414,0.117%,0,0.000%,4077,0.197%,0,0.000%,0,0.000%,157,0.008%,6660,0.322%
Budget Cooking (395),132703,3,0.002%,0,0.000%,159,0.120%,0,0.000%,201,0.151%,0,0.000%,0,0.000%,27,0.020%,390,0.294%
Quick & Easy Recipes (394),95082,3,0.003%,0,0.000%,95,0.100%,0,0.000%,118,0.124%,0,0.000%,0,0.000%,10,0.011%,226,0.238%
Diet Insider (448),44667,2,0.004%,0,0.000%,35,0.078%,66,0.148%,0,0.000%,0,0.000%,0,0.000%,2,0.004%,105,0.235%
Crockpot Creations (511),85866,2,0.002%,0,0.000%,129,0.150%,0,0.000%,175,0.204%,0,0.000%,0,0.000%,14,0.016%,320,0.373%
Casserole Cookin' (539),32602,1,0.003%,0,0.000%,40,0.123%,0,0.000%,60,0.184%,0,0.000%,0,0.000%,7,0.021%,108,0.331%
Copycat Classics (554),37266,1,0.003%,0,0.000%,78,0.209%,0,0.000%,96,0.258%,0,0.000%,0,0.000%,15,0.040%,190,0.510%
Making It Work (553),21028,1,0.005%,0,0.000%,20,0.095%,0,0.000%,0,0.000%,63,0.300%,0,0.000%,2,0.010%,86,0.409%
Work It  Mom! Special Offers (558),18001,1,0.006%,0,0.000%,20,0.111%,0,0.000%,0,0.000%,32,0.178%,0,0.000%,1,0.006%,54,0.300%
Diabetic-Friendly Dishes (574),5172,1,0.019%,0,0.000%,13,0.251%,0,0.000%,21,0.406%,0,0.000%,0,0.000%,4,0.077%,39,0.754%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4783339,33,0.001%,6,0.000%,5528,0.116%,262,0.005%,8172,0.171%,95,0.002%,0,0.000%,382,0.008%,14478,0.303%
Unique Emails,,8,,3,,2528,,161,,5076,,62,,0,,191,,8029,
