,List Size (2013-02-23),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),79131,0,0.000%,0,0.000%,37,0.047%,103,0.130%,0,0.000%,0,0.000%,0,0.000%,12,0.015%,152,0.192%
Fit&Fab Living Special Offers (410),121605,0,0.000%,0,0.000%,53,0.044%,199,0.164%,0,0.000%,0,0.000%,0,0.000%,14,0.012%,266,0.219%
Daily Recipes (393),2036334,3,0.000%,24,0.001%,2599,0.128%,0,0.000%,3860,0.190%,0,0.000%,0,0.000%,175,0.009%,6661,0.327%
Recipe4Living Special Offers (396),2062900,3,0.000%,24,0.001%,2602,0.126%,0,0.000%,4722,0.229%,0,0.000%,0,0.000%,187,0.009%,7538,0.365%
Budget Cooking (395),132347,0,0.000%,2,0.002%,145,0.110%,0,0.000%,272,0.206%,0,0.000%,0,0.000%,33,0.025%,452,0.342%
Quick & Easy Recipes (394),95018,0,0.000%,0,0.000%,111,0.117%,0,0.000%,134,0.141%,0,0.000%,0,0.000%,18,0.019%,263,0.277%
Diet Insider (448),44556,0,0.000%,0,0.000%,19,0.043%,98,0.220%,0,0.000%,0,0.000%,0,0.000%,7,0.016%,124,0.278%
Crockpot Creations (511),85922,0,0.000%,0,0.000%,114,0.133%,0,0.000%,202,0.235%,0,0.000%,0,0.000%,22,0.026%,338,0.393%
Casserole Cookin' (539),32482,0,0.000%,0,0.000%,50,0.154%,0,0.000%,80,0.246%,0,0.000%,0,0.000%,19,0.058%,149,0.459%
Copycat Classics (554),36926,0,0.000%,1,0.003%,82,0.222%,0,0.000%,117,0.317%,0,0.000%,0,0.000%,19,0.051%,219,0.593%
Making It Work (553),20791,0,0.000%,0,0.000%,15,0.072%,0,0.000%,0,0.000%,73,0.351%,0,0.000%,2,0.010%,90,0.433%
Work It  Mom! Special Offers (558),17730,0,0.000%,0,0.000%,14,0.079%,0,0.000%,0,0.000%,39,0.220%,0,0.000%,3,0.017%,56,0.316%
Diabetic-Friendly Dishes (574),5023,1,0.020%,0,0.000%,17,0.338%,0,0.000%,27,0.538%,0,0.000%,0,0.000%,9,0.179%,54,1.075%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4770765,7,0.000%,51,0.001%,5858,0.123%,400,0.008%,9414,0.197%,112,0.002%,0,0.000%,520,0.011%,16362,0.343%
Unique Emails,,3,,24,,2698,,241,,5642,,73,,0,,237,,8918,
