,List Size (2013-07-27),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),31989,0,0.000%,11,0.034%,31,0.097%,1,0.003%,0,0.000%,0,0.000%,0,0.000%,13,0.041%,56,0.175%
Fit&Fab Living Special Offers (410),47083,0,0.000%,17,0.036%,40,0.085%,21,0.045%,0,0.000%,0,0.000%,0,0.000%,13,0.028%,91,0.193%
Daily Recipes (393),1037197,22,0.002%,962,0.093%,1654,0.159%,0,0.000%,2231,0.215%,0,0.000%,0,0.000%,111,0.011%,4980,0.480%
Recipe4Living Special Offers (396),1019358,22,0.002%,972,0.095%,1636,0.160%,0,0.000%,2789,0.274%,0,0.000%,0,0.000%,105,0.010%,5524,0.542%
Budget Cooking (395),71236,0,0.000%,79,0.111%,96,0.135%,0,0.000%,100,0.140%,0,0.000%,0,0.000%,13,0.018%,288,0.404%
Quick & Easy Recipes (394),51154,0,0.000%,52,0.102%,88,0.172%,0,0.000%,65,0.127%,0,0.000%,0,0.000%,5,0.010%,210,0.411%
Diet Insider (448),20611,0,0.000%,9,0.044%,14,0.068%,28,0.136%,0,0.000%,0,0.000%,0,0.000%,4,0.019%,55,0.267%
Crockpot Creations (511),70836,0,0.000%,93,0.131%,109,0.154%,0,0.000%,137,0.193%,0,0.000%,0,0.000%,13,0.018%,352,0.497%
Casserole Cookin' (539),27681,1,0.004%,27,0.098%,61,0.220%,0,0.000%,46,0.166%,0,0.000%,0,0.000%,7,0.025%,142,0.513%
Copycat Classics (554),34966,0,0.000%,41,0.117%,75,0.214%,0,0.000%,72,0.206%,0,0.000%,0,0.000%,6,0.017%,194,0.555%
Making It Work (553),30742,0,0.000%,6,0.020%,23,0.075%,0,0.000%,0,0.000%,107,0.348%,0,0.000%,4,0.013%,140,0.455%
Work It  Mom! Special Offers (558),29999,0,0.000%,6,0.020%,23,0.077%,0,0.000%,0,0.000%,76,0.253%,0,0.000%,3,0.010%,108,0.360%
Diabetic-Friendly Dishes (574),11191,0,0.000%,8,0.071%,26,0.232%,0,0.000%,40,0.357%,0,0.000%,0,0.000%,5,0.045%,79,0.706%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2484043,45,0.002%,2283,0.092%,3876,0.156%,50,0.002%,5480,0.221%,183,0.007%,0,0.000%,302,0.012%,12219,0.492%
Unique Emails,,9,,1012,,1729,,29,,3306,,107,,0,,144,,6336,
