,List Size (2013-05-04),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),73185,1,0.001%,295,0.403%,46,0.063%,10,0.014%,0,0.000%,0,0.000%,0,0.000%,16,0.022%,368,0.503%
Fit&Fab Living Special Offers (410),112817,1,0.001%,503,0.446%,66,0.059%,47,0.042%,0,0.000%,0,0.000%,0,0.000%,19,0.017%,636,0.564%
Daily Recipes (393),1959005,9,0.000%,5390,0.275%,2730,0.139%,0,0.000%,2769,0.141%,0,0.000%,0,0.000%,178,0.009%,11076,0.565%
Recipe4Living Special Offers (396),1975983,13,0.001%,7101,0.359%,2782,0.141%,0,0.000%,3199,0.162%,0,0.000%,0,0.000%,178,0.009%,13273,0.672%
Budget Cooking (395),121461,1,0.001%,1739,1.432%,170,0.140%,0,0.000%,149,0.123%,0,0.000%,0,0.000%,19,0.016%,2078,1.711%
Quick & Easy Recipes (394),88367,1,0.001%,414,0.469%,134,0.152%,0,0.000%,78,0.088%,0,0.000%,0,0.000%,14,0.016%,641,0.725%
Diet Insider (448),43127,1,0.002%,60,0.139%,27,0.063%,48,0.111%,0,0.000%,0,0.000%,0,0.000%,5,0.012%,141,0.327%
Crockpot Creations (511),84112,2,0.002%,69,0.082%,243,0.289%,0,0.000%,162,0.193%,0,0.000%,0,0.000%,30,0.036%,506,0.602%
Casserole Cookin' (539),32311,1,0.003%,19,0.059%,96,0.297%,0,0.000%,68,0.210%,0,0.000%,0,0.000%,8,0.025%,192,0.594%
Copycat Classics (554),39272,1,0.003%,26,0.066%,148,0.377%,0,0.000%,112,0.285%,0,0.000%,0,0.000%,10,0.025%,297,0.756%
Making It Work (553),21443,1,0.005%,22,0.103%,15,0.070%,0,0.000%,0,0.000%,60,0.280%,0,0.000%,4,0.019%,102,0.476%
Work It  Mom! Special Offers (558),20301,1,0.005%,18,0.089%,15,0.074%,0,0.000%,0,0.000%,34,0.167%,0,0.000%,4,0.020%,72,0.355%
Diabetic-Friendly Dishes (574),9428,2,0.021%,0,0.000%,49,0.520%,0,0.000%,39,0.414%,0,0.000%,0,0.000%,7,0.074%,97,1.029%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4580812,35,0.001%,15656,0.342%,6521,0.142%,105,0.002%,6576,0.144%,94,0.002%,0,0.000%,492,0.011%,29479,0.644%
Unique Emails,,13,,7195,,2860,,56,,3916,,60,,0,,233,,14333,
