,List Size (2013-07-06),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),29504,0,0.000%,185,0.627%,35,0.119%,15,0.051%,0,0.000%,0,0.000%,0,0.000%,13,0.044%,248,0.841%
Fit&Fab Living Special Offers (410),43253,0,0.000%,295,0.682%,46,0.106%,86,0.199%,0,0.000%,0,0.000%,0,0.000%,15,0.035%,442,1.022%
Daily Recipes (393),953878,19,0.002%,16488,1.729%,1384,0.145%,0,0.000%,3028,0.317%,0,0.000%,0,0.000%,94,0.010%,21013,2.203%
Recipe4Living Special Offers (396),935044,29,0.003%,16553,1.770%,1404,0.150%,0,0.000%,2433,0.260%,0,0.000%,0,0.000%,101,0.011%,20520,2.195%
Budget Cooking (395),68143,1,0.001%,1369,2.009%,99,0.145%,0,0.000%,161,0.236%,0,0.000%,0,0.000%,9,0.013%,1639,2.405%
Quick & Easy Recipes (394),48551,0,0.000%,1042,2.146%,70,0.144%,0,0.000%,80,0.165%,0,0.000%,0,0.000%,12,0.025%,1204,2.480%
Diet Insider (448),19069,0,0.000%,161,0.844%,20,0.105%,56,0.294%,0,0.000%,0,0.000%,0,0.000%,5,0.026%,242,1.269%
Crockpot Creations (511),69139,2,0.003%,1656,2.395%,98,0.142%,0,0.000%,124,0.179%,0,0.000%,0,0.000%,10,0.014%,1890,2.734%
Casserole Cookin' (539),27032,1,0.004%,641,2.371%,44,0.163%,0,0.000%,75,0.277%,0,0.000%,0,0.000%,9,0.033%,770,2.848%
Copycat Classics (554),34043,1,0.003%,638,1.874%,59,0.173%,0,0.000%,92,0.270%,0,0.000%,0,0.000%,11,0.032%,801,2.353%
Making It Work (553),25324,0,0.000%,16,0.063%,13,0.051%,0,0.000%,0,0.000%,55,0.217%,0,0.000%,3,0.012%,87,0.344%
Work It  Mom! Special Offers (558),24519,0,0.000%,15,0.061%,13,0.053%,0,0.000%,0,0.000%,39,0.159%,0,0.000%,4,0.016%,71,0.290%
Diabetic-Friendly Dishes (574),10413,0,0.000%,12,0.115%,34,0.327%,0,0.000%,55,0.528%,0,0.000%,0,0.000%,4,0.038%,105,1.008%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2287912,53,0.002%,39071,1.708%,3319,0.145%,157,0.007%,6048,0.264%,94,0.004%,0,0.000%,290,0.013%,49032,2.143%
Unique Emails,,29,,16779,,1471,,97,,3703,,51,,0,,144,,22274,
