,List Size (2013-03-30),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),79553,0,0.000%,0,0.000%,29,0.036%,68,0.085%,0,0.000%,0,0.000%,0,0.000%,5,0.006%,102,0.128%
Fit&Fab Living Special Offers (410),122695,0,0.000%,0,0.000%,44,0.036%,74,0.060%,0,0.000%,0,0.000%,0,0.000%,5,0.004%,123,0.100%
Daily Recipes (393),2069487,0,0.000%,7,0.000%,2125,0.103%,0,0.000%,3646,0.176%,0,0.000%,0,0.000%,142,0.007%,5920,0.286%
Recipe4Living Special Offers (396),2095200,0,0.000%,7,0.000%,2128,0.102%,0,0.000%,4111,0.196%,0,0.000%,0,0.000%,156,0.007%,6402,0.306%
Budget Cooking (395),134203,0,0.000%,0,0.000%,146,0.109%,0,0.000%,222,0.165%,0,0.000%,0,0.000%,24,0.018%,392,0.292%
Quick & Easy Recipes (394),95346,0,0.000%,0,0.000%,84,0.088%,0,0.000%,136,0.143%,0,0.000%,0,0.000%,17,0.018%,237,0.249%
Diet Insider (448),45352,0,0.000%,0,0.000%,20,0.044%,38,0.084%,0,0.000%,0,0.000%,0,0.000%,6,0.013%,64,0.141%
Crockpot Creations (511),85929,0,0.000%,0,0.000%,118,0.137%,0,0.000%,144,0.168%,0,0.000%,0,0.000%,25,0.029%,287,0.334%
Casserole Cookin' (539),33135,0,0.000%,0,0.000%,46,0.139%,0,0.000%,59,0.178%,0,0.000%,0,0.000%,11,0.033%,116,0.350%
Copycat Classics (554),38617,0,0.000%,0,0.000%,70,0.181%,0,0.000%,118,0.306%,0,0.000%,0,0.000%,15,0.039%,203,0.526%
Making It Work (553),22353,0,0.000%,0,0.000%,18,0.081%,0,0.000%,0,0.000%,53,0.237%,0,0.000%,3,0.013%,74,0.331%
Work It  Mom! Special Offers (558),19809,0,0.000%,0,0.000%,16,0.081%,0,0.000%,0,0.000%,31,0.156%,0,0.000%,2,0.010%,49,0.247%
Diabetic-Friendly Dishes (574),6825,0,0.000%,0,0.000%,18,0.264%,0,0.000%,32,0.469%,0,0.000%,0,0.000%,10,0.147%,60,0.879%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4848504,0,0.000%,14,0.000%,4862,0.100%,180,0.004%,8468,0.175%,84,0.002%,0,0.000%,421,0.009%,14029,0.289%
Unique Emails,,0,,7,,2230,,107,,5230,,52,,0,,200,,7826,
