,List Size (2013-06-22),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),29330,0,0.000%,16,0.055%,26,0.089%,20,0.068%,0,0.000%,0,0.000%,0,0.000%,13,0.044%,75,0.256%
Fit&Fab Living Special Offers (410),43020,0,0.000%,21,0.049%,41,0.095%,91,0.212%,0,0.000%,0,0.000%,0,0.000%,16,0.037%,169,0.393%
Daily Recipes (393),961783,17,0.002%,457,0.048%,1480,0.154%,0,0.000%,2156,0.224%,0,0.000%,0,0.000%,98,0.010%,4208,0.438%
Recipe4Living Special Offers (396),942560,24,0.003%,447,0.047%,1476,0.157%,0,0.000%,2677,0.284%,0,0.000%,0,0.000%,103,0.011%,4727,0.502%
Budget Cooking (395),69414,0,0.000%,38,0.055%,102,0.147%,0,0.000%,109,0.157%,0,0.000%,0,0.000%,15,0.022%,264,0.380%
Quick & Easy Recipes (394),49375,1,0.002%,19,0.038%,86,0.174%,0,0.000%,81,0.164%,0,0.000%,0,0.000%,9,0.018%,196,0.397%
Diet Insider (448),18994,0,0.000%,7,0.037%,25,0.132%,47,0.247%,0,0.000%,0,0.000%,0,0.000%,5,0.026%,84,0.442%
Crockpot Creations (511),70896,1,0.001%,33,0.047%,97,0.137%,0,0.000%,130,0.183%,0,0.000%,0,0.000%,12,0.017%,273,0.385%
Casserole Cookin' (539),27474,0,0.000%,18,0.066%,42,0.153%,0,0.000%,68,0.248%,0,0.000%,0,0.000%,7,0.025%,135,0.491%
Copycat Classics (554),33928,1,0.003%,17,0.050%,76,0.224%,0,0.000%,95,0.280%,0,0.000%,0,0.000%,16,0.047%,205,0.604%
Making It Work (553),22182,0,0.000%,2,0.009%,34,0.153%,0,0.000%,0,0.000%,89,0.401%,0,0.000%,1,0.005%,126,0.568%
Work It  Mom! Special Offers (558),21342,0,0.000%,2,0.009%,32,0.150%,0,0.000%,0,0.000%,104,0.487%,0,0.000%,2,0.009%,140,0.656%
Diabetic-Friendly Dishes (574),9455,0,0.000%,7,0.074%,15,0.159%,0,0.000%,36,0.381%,0,0.000%,0,0.000%,4,0.042%,62,0.656%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2299753,44,0.002%,1084,0.047%,3532,0.154%,158,0.007%,5352,0.233%,193,0.008%,0,0.000%,301,0.013%,10664,0.464%
Unique Emails,,24,,489,,1583,,102,,3224,,112,,0,,159,,5693,
