,List Size (2013-08-03),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),33869,0,0.000%,7,0.021%,34,0.100%,6,0.018%,0,0.000%,0,0.000%,0,0.000%,16,0.047%,63,0.186%
Fit&Fab Living Special Offers (410),50158,0,0.000%,16,0.032%,44,0.088%,20,0.040%,0,0.000%,0,0.000%,0,0.000%,14,0.028%,94,0.187%
Daily Recipes (393),1096645,17,0.002%,567,0.052%,1899,0.173%,0,0.000%,2205,0.201%,0,0.000%,0,0.000%,92,0.008%,4780,0.436%
Recipe4Living Special Offers (396),1079642,43,0.004%,570,0.053%,1882,0.174%,0,0.000%,2652,0.246%,0,0.000%,0,0.000%,87,0.008%,5234,0.485%
Budget Cooking (395),73685,0,0.000%,37,0.050%,124,0.168%,0,0.000%,94,0.128%,0,0.000%,0,0.000%,10,0.014%,265,0.360%
Quick & Easy Recipes (394),53112,0,0.000%,38,0.072%,82,0.154%,0,0.000%,76,0.143%,0,0.000%,0,0.000%,8,0.015%,204,0.384%
Diet Insider (448),21900,0,0.000%,8,0.037%,15,0.068%,24,0.110%,0,0.000%,0,0.000%,0,0.000%,4,0.018%,51,0.233%
Crockpot Creations (511),72024,0,0.000%,56,0.078%,131,0.182%,0,0.000%,140,0.194%,0,0.000%,0,0.000%,7,0.010%,334,0.464%
Casserole Cookin' (539),28108,0,0.000%,16,0.057%,59,0.210%,0,0.000%,50,0.178%,0,0.000%,0,0.000%,5,0.018%,130,0.463%
Copycat Classics (554),35430,0,0.000%,18,0.051%,70,0.198%,0,0.000%,67,0.189%,0,0.000%,0,0.000%,10,0.028%,165,0.466%
Making It Work (553),31816,0,0.000%,8,0.025%,26,0.082%,0,0.000%,0,0.000%,120,0.377%,0,0.000%,2,0.006%,156,0.490%
Work It  Mom! Special Offers (558),31053,0,0.000%,8,0.026%,27,0.087%,0,0.000%,0,0.000%,99,0.319%,0,0.000%,2,0.006%,136,0.438%
Diabetic-Friendly Dishes (574),11271,0,0.000%,5,0.044%,23,0.204%,0,0.000%,41,0.364%,0,0.000%,0,0.000%,2,0.018%,71,0.630%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2618713,60,0.002%,1354,0.052%,4416,0.169%,50,0.002%,5325,0.203%,219,0.008%,0,0.000%,259,0.010%,11683,0.446%
Unique Emails,,42,,622,,1989,,25,,3210,,120,,0,,131,,6139,
