,List Size (2013-10-19),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),39112,0,0.000%,42,0.107%,51,0.130%,92,0.235%,0,0.000%,0,0.000%,0,0.000%,9,0.023%,194,0.496%
Fit&Fab Living Special Offers (410),56678,0,0.000%,64,0.113%,58,0.102%,120,0.212%,0,0.000%,0,0.000%,0,0.000%,12,0.021%,254,0.448%
Daily Recipes (393),1117846,1,0.000%,1404,0.126%,1831,0.164%,0,0.000%,1791,0.160%,0,0.000%,0,0.000%,124,0.011%,5151,0.461%
Recipe4Living Special Offers (396),1100571,1,0.000%,1343,0.122%,1832,0.166%,0,0.000%,2349,0.213%,0,0.000%,0,0.000%,101,0.009%,5626,0.511%
Budget Cooking (395),69904,0,0.000%,79,0.113%,106,0.152%,0,0.000%,45,0.064%,0,0.000%,0,0.000%,8,0.011%,238,0.340%
Quick & Easy Recipes (394),51299,0,0.000%,84,0.164%,83,0.162%,0,0.000%,42,0.082%,0,0.000%,0,0.000%,6,0.012%,215,0.419%
Diet Insider (448),23339,0,0.000%,41,0.176%,18,0.077%,33,0.141%,0,0.000%,0,0.000%,0,0.000%,5,0.021%,97,0.416%
Crockpot Creations (511),66182,0,0.000%,82,0.124%,104,0.157%,0,0.000%,74,0.112%,0,0.000%,0,0.000%,11,0.017%,271,0.409%
Casserole Cookin' (539),25791,0,0.000%,46,0.178%,55,0.213%,0,0.000%,29,0.112%,0,0.000%,0,0.000%,7,0.027%,137,0.531%
Copycat Classics (554),32184,0,0.000%,57,0.177%,77,0.239%,0,0.000%,50,0.155%,0,0.000%,0,0.000%,4,0.012%,188,0.584%
Making It Work (553),30988,0,0.000%,101,0.326%,15,0.048%,0,0.000%,0,0.000%,13,0.042%,0,0.000%,1,0.003%,130,0.420%
Work It  Mom! Special Offers (558),30410,0,0.000%,91,0.299%,15,0.049%,0,0.000%,0,0.000%,8,0.026%,0,0.000%,1,0.003%,115,0.378%
Diabetic-Friendly Dishes (574),10352,0,0.000%,45,0.435%,23,0.222%,0,0.000%,18,0.174%,0,0.000%,0,0.000%,3,0.029%,89,0.860%
The Feed by SavvyFork (583),3681,0,0.000%,0,0.000%,7,0.190%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,1,0.027%,8,0.217%
Total,2658337,2,0.000%,3479,0.131%,4275,0.161%,245,0.009%,4398,0.165%,21,0.001%,0,0.000%,293,0.011%,12713,0.478%
Unique Emails,,1,,1629,,1914,,144,,2762,,13,,0,,157,,6620,
