,List Size (2013-06-29),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),29466,0,0.000%,12,0.041%,34,0.115%,11,0.037%,0,0.000%,0,0.000%,0,0.000%,20,0.068%,77,0.261%
Fit&Fab Living Special Offers (410),43275,0,0.000%,13,0.030%,41,0.095%,24,0.055%,0,0.000%,0,0.000%,0,0.000%,23,0.053%,101,0.233%
Daily Recipes (393),965184,13,0.001%,440,0.046%,1630,0.169%,0,0.000%,2199,0.228%,0,0.000%,0,0.000%,94,0.010%,4376,0.453%
Recipe4Living Special Offers (396),945650,12,0.001%,435,0.046%,1622,0.172%,0,0.000%,2767,0.293%,0,0.000%,0,0.000%,92,0.010%,4928,0.521%
Budget Cooking (395),69450,0,0.000%,41,0.059%,124,0.179%,0,0.000%,106,0.153%,0,0.000%,0,0.000%,13,0.019%,284,0.409%
Quick & Easy Recipes (394),49480,0,0.000%,25,0.051%,79,0.160%,0,0.000%,73,0.148%,0,0.000%,0,0.000%,15,0.030%,192,0.388%
Diet Insider (448),19131,0,0.000%,2,0.010%,12,0.063%,36,0.188%,0,0.000%,0,0.000%,0,0.000%,7,0.037%,57,0.298%
Crockpot Creations (511),70788,0,0.000%,34,0.048%,117,0.165%,0,0.000%,131,0.185%,0,0.000%,0,0.000%,16,0.023%,298,0.421%
Casserole Cookin' (539),27549,1,0.004%,15,0.054%,61,0.221%,0,0.000%,39,0.142%,0,0.000%,0,0.000%,13,0.047%,129,0.468%
Copycat Classics (554),34244,0,0.000%,19,0.055%,70,0.204%,0,0.000%,91,0.266%,0,0.000%,0,0.000%,13,0.038%,193,0.564%
Making It Work (553),23745,0,0.000%,8,0.034%,19,0.080%,0,0.000%,0,0.000%,88,0.371%,0,0.000%,0,0.000%,115,0.484%
Work It  Mom! Special Offers (558),22928,0,0.000%,8,0.035%,20,0.087%,0,0.000%,0,0.000%,58,0.253%,0,0.000%,1,0.004%,87,0.379%
Diabetic-Friendly Dishes (574),9907,1,0.010%,3,0.030%,44,0.444%,0,0.000%,57,0.575%,0,0.000%,0,0.000%,6,0.061%,111,1.120%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2310797,27,0.001%,1055,0.046%,3873,0.168%,71,0.003%,5463,0.236%,146,0.006%,0,0.000%,313,0.014%,10948,0.474%
Unique Emails,,12,,476,,1700,,37,,3293,,87,,0,,141,,5746,
