,List Size (2013-07-13),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),29633,2,0.007%,22,0.074%,29,0.098%,16,0.054%,0,0.000%,0,0.000%,0,0.000%,18,0.061%,87,0.294%
Fit&Fab Living Special Offers (410),43393,2,0.005%,30,0.069%,43,0.099%,68,0.157%,0,0.000%,0,0.000%,0,0.000%,22,0.051%,165,0.380%
Daily Recipes (393),956172,12,0.001%,531,0.056%,1571,0.164%,0,0.000%,2210,0.231%,0,0.000%,0,0.000%,129,0.013%,4453,0.466%
Recipe4Living Special Offers (396),937220,19,0.002%,515,0.055%,1571,0.168%,0,0.000%,2550,0.272%,0,0.000%,0,0.000%,120,0.013%,4775,0.509%
Budget Cooking (395),68099,4,0.006%,55,0.081%,99,0.145%,0,0.000%,97,0.142%,0,0.000%,0,0.000%,23,0.034%,278,0.408%
Quick & Easy Recipes (394),48525,3,0.006%,41,0.084%,82,0.169%,0,0.000%,58,0.120%,0,0.000%,0,0.000%,15,0.031%,199,0.410%
Diet Insider (448),19115,2,0.010%,13,0.068%,19,0.099%,46,0.241%,0,0.000%,0,0.000%,0,0.000%,7,0.037%,87,0.455%
Crockpot Creations (511),69014,3,0.004%,59,0.085%,106,0.154%,0,0.000%,115,0.167%,0,0.000%,0,0.000%,10,0.014%,293,0.425%
Casserole Cookin' (539),27034,3,0.011%,25,0.092%,42,0.155%,0,0.000%,66,0.244%,0,0.000%,0,0.000%,13,0.048%,149,0.551%
Copycat Classics (554),34121,4,0.012%,26,0.076%,65,0.190%,0,0.000%,93,0.273%,0,0.000%,0,0.000%,10,0.029%,198,0.580%
Making It Work (553),26843,2,0.007%,3,0.011%,19,0.071%,0,0.000%,0,0.000%,50,0.186%,0,0.000%,3,0.011%,77,0.287%
Work It  Mom! Special Offers (558),26061,2,0.008%,3,0.012%,19,0.073%,0,0.000%,0,0.000%,28,0.107%,0,0.000%,4,0.015%,56,0.215%
Diabetic-Friendly Dishes (574),10690,3,0.028%,3,0.028%,35,0.327%,0,0.000%,56,0.524%,0,0.000%,0,0.000%,10,0.094%,107,1.001%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2295920,61,0.003%,1326,0.058%,3700,0.161%,130,0.006%,5245,0.228%,78,0.003%,0,0.000%,384,0.017%,10924,0.476%
Unique Emails,,21,,571,,1656,,80,,3161,,50,,0,,186,,5725,
