,List Size (2013-06-01),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),28421,3,0.011%,183,0.644%,27,0.095%,4,0.014%,0,0.000%,0,0.000%,0,0.000%,13,0.046%,230,0.809%
Fit&Fab Living Special Offers (410),41745,2,0.005%,229,0.549%,41,0.098%,28,0.067%,0,0.000%,0,0.000%,0,0.000%,18,0.043%,318,0.762%
Daily Recipes (393),950070,22,0.002%,4353,0.458%,1762,0.185%,0,0.000%,2757,0.290%,0,0.000%,0,0.000%,97,0.010%,8991,0.946%
Recipe4Living Special Offers (396),930881,29,0.003%,4343,0.467%,1744,0.187%,0,0.000%,4101,0.441%,0,0.000%,0,0.000%,137,0.015%,10354,1.112%
Budget Cooking (395),69375,4,0.006%,608,0.876%,103,0.148%,0,0.000%,144,0.208%,0,0.000%,0,0.000%,11,0.016%,870,1.254%
Quick & Easy Recipes (394),49140,3,0.006%,429,0.873%,74,0.151%,0,0.000%,69,0.140%,0,0.000%,0,0.000%,12,0.024%,587,1.195%
Diet Insider (448),18491,2,0.011%,105,0.568%,20,0.108%,38,0.206%,0,0.000%,0,0.000%,0,0.000%,6,0.032%,171,0.925%
Crockpot Creations (511),71231,3,0.004%,654,0.918%,109,0.153%,0,0.000%,169,0.237%,0,0.000%,0,0.000%,16,0.022%,951,1.335%
Casserole Cookin' (539),27177,3,0.011%,249,0.916%,58,0.213%,0,0.000%,74,0.272%,0,0.000%,0,0.000%,5,0.018%,389,1.431%
Copycat Classics (554),33023,3,0.009%,241,0.730%,88,0.266%,0,0.000%,114,0.345%,0,0.000%,0,0.000%,7,0.021%,453,1.372%
Making It Work (553),17881,1,0.006%,11,0.062%,21,0.117%,0,0.000%,0,0.000%,74,0.414%,0,0.000%,4,0.022%,111,0.621%
Work It  Mom! Special Offers (558),16962,0,0.000%,7,0.041%,23,0.136%,0,0.000%,0,0.000%,46,0.271%,0,0.000%,4,0.024%,80,0.472%
Diabetic-Friendly Dishes (574),8235,1,0.012%,2,0.024%,30,0.364%,0,0.000%,37,0.449%,0,0.000%,0,0.000%,4,0.049%,74,0.899%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2262632,76,0.003%,11414,0.504%,4100,0.181%,70,0.003%,7465,0.330%,120,0.005%,0,0.000%,334,0.015%,23579,1.042%
Unique Emails,,33,,4413,,1837,,39,,4587,,75,,0,,182,,11166,
